"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01430",149.901395926391,-0.227184740718207,0.409093207252846,-0.555337357576296,0.578663930965668,0.98629708997289
"AT1G01440",355.916597238545,0.135215310572872,0.310984323950486,0.434797834357724,0.663709177001579,0.995357432799861
"AT1G01450",0.262536722433669,-1.33719063887338,4.97534518814371,-0.268763389937229,0.788111767636057,NA
"AT1G01453",6.86948021543621,0.554899955465483,1.68919521882127,0.328499601042381,0.742533945888249,NA
"AT1G01460",0,NA,NA,NA,NA,NA
"AT1G01470",458.42644533983,-0.128709628790268,0.340195341595672,-0.378340362294676,0.705177765088852,0.995818004740788
"AT1G01480",26.1052236031335,1.35929849207265,1.10189503524958,1.23360070477564,0.217351730274555,0.857606494540396
"AT1G01490",786.163903706865,-0.297829745356487,0.310990239982466,-0.9576819689688,0.338223151699892,0.948463448877421
"AT1G01500",151.670618099123,0.0476669875850412,0.4478670533297,0.106431109925719,0.915240311098137,0.996150562299559
"AT1G01510",352.734847591282,-0.108963130044014,0.302884708714184,-0.359751175642335,0.719033218028808,0.995818004740788
"AT1G01520",30.6440486243979,3.30956978754767,0.812817806951342,4.07172401889294,4.66664513753745e-05,0.00460005737261545
"AT1G01530",0,NA,NA,NA,NA,NA
"AT1G01540",277.185366534724,0.169566259284929,0.432630245347127,0.391942683408265,0.695100564208798,0.995818004740788
"AT1G01550",3695.7104906628,-0.0425374541798974,0.309298478313282,-0.137528818156073,0.890612815565068,0.996150562299559
"AT1G01560",153.765420146133,3.58452560062765,2.17375334765958,1.64900291216895,0.0991470381049244,0.678457979023165
"AT1G01570",37.4154998181458,0.0540140206675877,0.792865165716766,0.068125102480392,0.945686047883292,0.9973285475881
"AT1G01580",1032.67537888189,2.26523463245334,0.439260286135537,5.15693019367198,2.51031334676616e-07,5.62891847646212e-05
"AT1G01590",0,NA,NA,NA,NA,NA
"AT1G01600",110.277531521563,3.00088755926734,0.73244514520017,4.09708164349594,4.18391371421315e-05,0.00425025532946062
"AT1G01610",692.855549163777,1.28441593590516,0.380024495699519,3.37982406513272,0.000725322432909181,0.0359474489862564
"AT1G01620",3761.29360746224,-0.196645944436718,0.251741218338067,-0.781143214190056,0.434718267874399,0.968445773245393
"AT1G01630",314.883078391627,0.443338741133435,0.331792708436529,1.33619193508662,0.181486546450108,0.823626850751129
"AT1G01640",434.364642562862,0.566691324908091,0.310079633594953,1.82756706184819,0.0676145529436261,0.573445011519581
"AT1G01650",444.289117258693,0.263675984781787,0.303050239951493,0.870073506043064,0.384260235258044,0.957066410136759
"AT1G01660",20.3078613524145,-1.06226542561076,0.972050582826171,-1.09280879449946,0.274477759488818,0.907318703554844
"AT1G01670",52.0711815790475,-0.688292188114504,0.790490236042976,-0.870715610049716,0.383909453031208,0.956952193683131
"AT1G01680",234.087001595428,3.21958703846003,2.01228409636603,1.59996644821388,0.109606026783146,0.704236012610979
"AT1G01690",63.325985824188,-0.40891149822212,0.616542786562531,-0.663232961498038,0.507181364159793,0.974803698157392
"AT1G01695",2.94619317568059,-3.28353074278549,2.58328723936083,-1.27106683792466,0.203704871684059,NA
"AT1G01700",4.35215386566841,1.84367511182083,1.8215994553981,1.0121188312597,0.311481239524327,NA
"AT1G01710",266.656869000861,0.147238753942437,0.333668190115764,0.441272972084492,0.659015390532331,0.995357432799861
"AT1G01715",25.3954208489484,-0.135254918790048,0.775150755177168,-0.174488533858339,0.861481541198685,0.996150562299559
"AT1G01720",920.569422160857,-0.433561858530724,0.270447126704272,-1.60312983840577,0.108905991562325,0.704082787481712
"AT1G01725",113.29392568182,-0.431734493793715,0.446528580880613,-0.966868667045404,0.333609691921462,0.947727308142637
"AT1G01730",398.461613527736,-0.120421795500529,0.361755381721357,-0.332881835586027,0.739223481350801,0.995818004740788
"AT1G01740",54.0759812464369,0.242695409835788,0.759174974511858,0.319683100713165,0.749208571737148,0.995818004740788
"AT1G01750",125.874639022727,0.620871360470772,0.661218425530772,0.938980730871781,0.34774063767548,0.950159074371174
"AT1G01760",60.4274322328064,0.0347770064035752,0.586456713686142,0.0593002102149811,0.952712993683862,0.997851152353146
"AT1G01770",353.884029122444,-0.547068121021113,0.435868890013198,-1.25512082544948,0.20943490152185,0.846991141720612
"AT1G01780",265.574718257648,0.0877799384464332,0.344503880537865,0.254801015040483,0.798876791254789,0.995912776838911
"AT1G01790",303.686270190113,0.965121646832512,0.346426709546115,2.78593312881967,0.00533738811953526,0.136683224726873
"AT1G01800",977.635550002367,-0.259627186979604,0.32929621115684,-0.78843053209606,0.430444917530286,0.968129430202744
"AT1G01810",8.50577600437582,-1.67794542012462,1.5056244648361,-1.1144514846252,0.265085546710248,NA
"AT1G01820",1118.26434652859,-0.361672787782571,0.302708368319099,-1.19478952561138,0.232169273740881,0.870670290898138
"AT1G01830",121.29935607644,-0.404045137080687,0.403983742500205,-1.00015197289897,0.317236967466472,0.938366995737292
"AT1G01840",5.91403962004333,-1.15797039236056,1.57885875379358,-0.733422410065662,0.463300835093916,NA
"AT1G01860",60.7834658309734,-0.274216144492896,0.614123870360609,-0.446516016926485,0.655224545443529,0.995357432799861
"AT1G01880",19.7548838253073,0.328072573418823,0.921039172519459,0.356198284728103,0.721692076406094,0.995818004740788
"AT1G01900",3.92360423260578,0.238488927062371,1.92877987245135,0.123647561066296,0.901594333119834,NA
"AT1G01910",440.544396677268,0.336170489799027,0.305584823431471,1.10008895737721,0.271293364672527,0.904317996819089
"AT1G01920",219.061742802083,-0.340274932560147,0.347273086162291,-0.979848269615478,0.327161021221622,0.943206235042848
"AT1G01930",155.742192725061,-0.343895336005347,0.45035763190264,-0.763604992220254,0.445102673387369,0.970605704579997
"AT1G01940",137.941435275581,0.341213317429188,0.410871451279394,0.830462463056752,0.406277362332617,0.961956142800943
"AT1G01950",225.530851941114,-0.0267702005064431,0.361687551850684,-0.0740147134438698,0.94099867773801,0.997161725186954
"AT1G01960",1161.94628428407,-0.0657293806504453,0.309493204080651,-0.212377460260215,0.831812568805727,0.996070717050572
"AT1G01970",80.8293536577936,0.513771126857298,0.475756758534384,1.0799029496502,0.280185399642318,0.910519193961276
"AT1G01980",0,NA,NA,NA,NA,NA
"AT1G01990",145.521816646123,0.0563657050855788,0.390931837842658,0.144182948609739,0.885356005286821,0.996150562299559
"AT1G02000",119.330871719713,-0.554200953000631,0.430250817196326,-1.28808808920343,0.197715301004634,0.835862361882097
"AT1G02010",59.4838851753051,0.674802664725447,0.554531436758992,1.21688802472479,0.223646822510104,0.865464472784002
"AT1G02020",72.3644043765011,-0.617672009735493,0.544865388516383,-1.1336231347294,0.256952664501608,0.891815473583338
"AT1G02030",11.4713816283378,0.394344926235878,1.10275873280407,0.357598552163034,0.72064376196632,0.995818004740788
"AT1G02040",0.545432370634569,2.69192256539585,4.89227540852938,0.550239375465791,0.582155199695707,NA
"AT1G02050",60.1880473735598,-0.750007127169852,0.566322719361904,-1.32434582178676,0.185388219019143,0.827392225854994
"AT1G02060",125.198544174715,-0.381991863749029,0.412303623784601,-0.926481946102399,0.354195575210768,0.950159074371174
"AT1G02065",0,NA,NA,NA,NA,NA
"AT1G02067",0,NA,NA,NA,NA,NA
"AT1G02070",1.06739570383227,1.73299312279839,3.59956291980245,0.481445431406295,0.630199954088368,NA
"AT1G02080",1497.52784586992,0.155420346621533,0.380913790703378,0.408019742038063,0.683259181074226,0.995805846735241
"AT1G02090",349.777837518084,0.11787451708089,0.321154749197913,0.367033392391931,0.713594110077294,0.995818004740788
"AT1G02100",734.100140081752,-0.269134347278158,0.288035643838829,-0.934378619573739,0.350108622499393,0.950159074371174
"AT1G02110",86.9836947003716,0.291387678262062,0.475539625722863,0.612751624681385,0.540040581770678,0.980606824317575
"AT1G02120",1065.46040329813,-0.224639345909268,0.301251585579024,-0.745686850004448,0.455856604646537,0.97420058809706
"AT1G02130",720.289790724643,0.0959019888860726,0.319934164018629,0.299755386175289,0.764363747931085,0.995912776838911
"AT1G02140",1031.13004471164,-0.125002282044054,0.288638082581616,-0.433076193293751,0.664959417365594,0.995357432799861
"AT1G02145",195.537324526165,-0.139765108533484,0.387499312423892,-0.360684791049624,0.718335095449836,0.995818004740788
"AT1G02150",263.710363791739,-0.379631314126416,0.32380355137915,-1.17241244732951,0.241031504466351,0.878312622506115
"AT1G02160",90.0012122305357,0.316156168281413,0.471969483698736,0.669865699374792,0.502943407236225,0.974803698157392
"AT1G02170",201.583257878811,0.395787687925108,0.385338323639541,1.02711737619781,0.304365197522613,0.928500684817553
"AT1G02180",24.0181909729391,0.213324424349474,0.850101043791717,0.250940080484998,0.801860435862583,0.995912776838911
"AT1G02190",0,NA,NA,NA,NA,NA
"AT1G02205",6.44485846950185,1.48855530095762,1.60381473076705,0.928134199294761,0.353337961560467,NA
"AT1G02210",0,NA,NA,NA,NA,NA
"AT1G02220",301.127999085046,1.52284353596886,1.64345864093451,0.926608980620851,0.354129590421635,0.950159074371174
"AT1G02230",20.1443995669155,0.234130498361496,1.43594058592983,0.163050268691922,0.870478855519303,0.996150562299559
"AT1G02250",1.58798403366049,0.031634468716394,3.9720633804335,0.00796424066952866,0.993645522507832,NA
"AT1G02260",149.968420418232,-0.915798091656508,0.742618766593142,-1.2332008465903,0.21750083961446,0.857744037945204
"AT1G02270",173.489669575327,0.113080968518706,0.423928188269431,0.266745575424762,0.789665060738719,0.995912776838911
"AT1G02280",487.302442657602,-0.0996896229905847,0.437242759781843,-0.227996051987971,0.819649309759759,0.995912776838911
"AT1G02290",92.6790654290403,-0.199365939872769,0.462062353827898,-0.431469775066388,0.666126824996767,0.995357432799861
"AT1G02300",195.439372305178,-0.965970939304607,0.728056879121527,-1.32677949622583,0.18458163492565,0.825566169150555
"AT1G02305",2112.54040195455,-0.297338757104413,0.231324655728275,-1.28537425536551,0.198661533123912,0.837411648223148
"AT1G02310",108.051567021016,0.447101794156514,0.720885098669995,0.62021228484456,0.535118034604193,0.978732944659125
