"","SRR17382349","SRR17382351","SRR17382366","SRR17382370"
"AT5G18200",236.806581660071,324.770851630643,231.210803529871,272.947502730505
"AT5G18210",28.2750483678556,41.289988195267,34.581236629085,33.3492036735994
"AT5G18220",1.13441104988753,0,5.27262718803976,1.0426130273455
"AT5G18230",983.828488365459,715.23927086496,991.237967501639,974.814509365349
"AT5G18240",31.9191114768008,30.05378737463,9.0040580492685,76.2199308842367
"AT5G18250",82.3552879788358,88.4208679730194,103.53938894513,80.3438803539214
"AT5G18260",67.390523203735,64.174753016867,98.7127022814305,84.3030637709976
"AT5G18270",812.214697489483,811.714454875626,325.344000552015,501.066300216122
"AT5G18280",313.470284049182,308.181005808474,265.427586253355,241.388979058823
"AT5G18290",234.589348235881,25.8908400482173,132.0943910927,83.2371059357387
"AT5G18300",0,15.4620988503149,1.91058840628864,12.653414087981
"AT5G18310",1723.12299071981,1406.58236627482,1179.65771273215,1657.59408277396
"AT5G18320",6.72615472800602,4.13256103367037,1.04502589951951,5.16390299241426
"AT5G18330",1.11288432758402,0,0,0
"AT5G18340",21.2929775382088,18.9847519363337,19.8734324658471,68.2126257413805
"AT5G18350",65.6708665388588,11.3332866538416,0,9.35929976844743
"AT5G18360",111.721956475743,118.9411635607,124.544080116168,139.490893769366
"AT5G18370",155.070224975218,229.177866857021,249.059705028059,275.72012440116
"AT5G18380",4368.04063773838,4320.45066958956,3915.34441798891,3074.89522713142
"AT5G18390",76.2183875226784,188.323666283254,73.1840535931112,100.214927358672
"AT5G18400",445.55111815927,388.336312195711,374.088420690567,311.210652921484
"AT5G18403",0,0,0,0
"AT5G18404",0,0,0,0
"AT5G18407",0,0,0,0
"AT5G18410",430.117983982392,266.256076132981,426.887195746923,362.746243355421
"AT5G18420",349.571443443383,278.210267027852,272.141553053831,267.105798773609
"AT5G18430",0,0,0,0
"AT5G18440",154.803868881369,135.253713159652,173.085019100539,171.239499335615
"AT5G18450",0,0,0,0
"AT5G18460",36.9518520015169,37.8346946105098,72.3483637204041,22.7818184808438
"AT5G18470",80.8179156947689,147.113435460227,26.0258361041303,68.9851956698555
"AT5G18475",29.1425996306237,29.7365247001078,23.0000615458426,28.9273773981053
"AT5G18480",613.676954535792,738.867621716423,472.767570897297,648.117340717537
"AT5G18490",589.978505476969,614.641393678885,228.728048400484,578.129974368155
"AT5G18500",539.73930383304,532.490954152571,764.88051998647,446.450665191272
"AT5G18510",3.3568962028521,9.02039016697246,2.10137463494055,1.03723512214836
"AT5G18520",1058.18137720434,869.253531662226,782.870830979662,886.257961680647
"AT5G18525",519.720733804475,395.514137036419,569.612570984053,668.863374991669
"AT5G18540",110.586913198661,103.098949958309,134.805886427434,122.835074440358
"AT5G18550",49.2458711542981,54.9449406487698,69.8010646452265,53.5692021984911
"AT5G18560",21.3266604911931,17.4531010806642,7.28752939603831,9.26696806357129
"AT5G18570",24.6051284960831,46.6448593014006,26.3048533601368,66.4587562279348
"AT5G18580",704.874921297774,684.9568690271,736.469906680595,705.979045337071
"AT5G18590",72.6518856566137,109.407972401512,158.084133554718,145.563773751901
"AT5G18600",0,0,0,0
"AT5G18610",302.226844714262,505.2643132326,273.621191979891,643.967547916539
"AT5G18620",626.404096762656,404.404354513346,641.402576725852,707.360056009289
"AT5G18630",577.893839849785,587.334917843946,350.624142849876,743.411906997694
"AT5G18636",5.71006990639848,0,1.05015446421285,6.23989529447847
"AT5G18640",497.762432535493,480.720460328851,599.059823023804,506.599116541411
"AT5G18650",1343.21838632997,1497.09135578257,1311.88917781891,1305.94076234717
"AT5G18660",15.7067491389438,21.5628886527303,8.34066933586153,17.5245203588215
"AT5G18661",14.1481172295057,18.8243394377324,26.3937472408072,1.91196448224439
"AT5G18670",1003.37340716208,1940.87808761882,1075.55401535032,876.947616916082
"AT5G18680",741.968918290009,559.822533594648,824.720743820606,637.547505522865
"AT5G18690",138.974464206294,83.910423606298,108.149147616669,64.8399996143945
"AT5G18700",74.7508882706069,63.9924198970632,62.5183867574962,82.4951359959271
"AT5G18705",0,0,0,0
"AT5G18710",1.12012925880212,2.47102507810819,2.09498716534423,4.13889663528905
"AT5G18720",0,0,0,0
"AT5G18730",2.23696882301635,2.45563629702195,1.05200407416266,6.22961351110228
"AT5G18735",0,0,0,0
"AT5G18740",3.3727588668643,0,3.16925965415356,0
"AT5G18748",0,0,0,0
"AT5G18750",126.232588556788,175.890817334116,111.91238908161,135.359452816263
"AT5G18760",78.5776315107155,113.695625885094,93.8720275490037,102.915841006631
"AT5G18770",66.3167161151221,165.449919579932,89.3379657746548,99.2128459068267
"AT5G18780",183.688900983712,190.181424537777,219.808877942875,337.837755755646
"AT5G18790",56.4917129552508,64.8590888362384,74.6181012915965,69.8619170301698
